📡  更新日期,#genre#
2025-03-28,http://nctv.top/IDOEPpiryt/huya.php?id=11342412
📡  央视频道,#genre#

CCTV164k,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv164k
CCTV17,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv17

CCTV1,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV1HD
CCTV2,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV2HD
CCTV3,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV3HD
CCTV4,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV4HD
CCTV5,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV5HD
CCTV5+,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV5_HD
CCTV6,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV6HD
CCTV7,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV7HD
CCTV8,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV8HD
CCTV9,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV9HD
CCTV10,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV10HD
CCTV11,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV11
CCTV12,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV12HD
CCTV13,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV13
CCTV14,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV14HD
CCTV15,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV15
CCTV16,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV16HD
CCTV17,http://nctv.top/IDOEPpiryt/wntv.php?id=CCTV17HD

📡  卫视频道,#genre#

湖南卫视,http://220.175.133.123:8008/udp/239.252.219.201:5140
北京卫视,http://220.175.133.123:8008/udp/239.252.219.206:5140
浙江卫视,http://220.175.133.123:8008/udp/239.252.219.210:5140
东方卫视,http://220.175.133.123:8008/udp/239.252.219.229:5140
深圳卫视,http://220.175.133.123:8008/udp/239.252.219.212:5140
江西卫视,http://220.175.133.123:8008/udp/239.252.220.63:5140
广东卫视,http://220.175.133.123:8008/udp/239.252.219.213:5140
江苏卫视,http://220.175.133.123:8008/udp/239.252.219.214:5140
湖北卫视,http://220.175.133.123:8008/udp/239.252.219.208:5140
海南卫视,http://220.175.133.123:8008/udp/239.252.219.178:5140
东南卫视,http://220.175.133.123:8008/udp/239.252.220.82:5140
黑龙江卫视,http://220.175.133.123:8008/udp/239.252.219.211:5140
辽宁卫视,http://220.175.133.123:8008/udp/239.252.220.62:5140
天津卫视,http://220.175.133.123:8008/udp/239.252.220.61:5140
云南卫视,http://220.175.133.123:8008/udp/239.252.219.185:5140
贵州卫视,http://220.175.133.123:8008/udp/239.252.220.190:5140
山东卫视,http://220.175.133.123:8008/udp/239.252.219.228:5140
重庆卫视,http://220.175.133.123:8008/udp/239.252.220.94:5140
广西卫视,http://220.175.133.123:8008/udp/239.252.219.183:5140
河南卫视,http://220.175.133.123:8008/udp/239.252.220.189:5140
四川卫视,http://220.175.133.123:8008/udp/239.252.220.93:5140
安徽卫视,http://220.175.133.123:8008/udp/239.252.220.83:5140
河北卫视,http://220.175.133.123:8008/udp/239.252.220.154:5140
吉林卫视,http://220.175.133.123:8008/udp/239.252.220.188:5140
甘肃卫视,http://220.175.133.123:8008/udp/239.252.219.140:5140
内蒙古卫视,http://220.175.133.123:8008/udp/239.252.219.48:5140
宁夏卫视,http://220.175.133.123:8008/udp/239.252.219.104:5140
山西卫视,http://220.175.133.123:8008/udp/239.252.219.27:5140
陕西卫视,http://220.175.133.123:8008/udp/239.252.219.105:5140
兵团卫视,http://220.175.133.123:8008/udp/239.252.219.107:5140
三沙卫视,http://220.175.133.123:8008/udp/239.252.219.76:5140
新疆卫视,http://220.175.133.123:8008/udp/239.252.219.100:5140
青海卫视,http://220.175.133.123:8008/udp/239.252.219.46:5140
西藏卫视,http://220.175.133.123:8008/udp/239.252.219.106:5140
厦门卫视,http://220.175.133.123:8008/udp/239.252.219.75:5140
山东教育卫视,http://220.175.133.123:8008/udp/239.252.219.74:5140

湖南卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=086
北京卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=083
广东卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=092
东方卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=093
浙江卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=094
江苏卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=085
江西卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=098
天津卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=084
辽宁卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=058
黑龙江卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=095
吉林卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=097
安徽卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=096
山东卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=099
贵州卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=101
深圳卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=100
湖北卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=102
四川卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=103
河南卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=104
重庆卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=107
山西卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=109
河北卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=108
河南卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=339
海南卫视,http://nctv.top/IDOEPpiryt/bfgd.php?id=473
